image_path,transcription
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\1\line_001.png,"A Vos, Dulcissimo Niño"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\1\line_002.png,"JESUS, que no solo os"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\1\line_003.png,dignasteis de llamaros
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\1\line_004.png,"Doctor de los Niños,"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\1\line_005.png,sino también de assis-
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\1\line_006.png,"tir como Niño entre los Doctores,"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\1\line_007.png,se consagra humilde esta pequeña
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\1\line_008.png,"Instrucción de los Niños. Es assi,"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\1\line_009.png,que ella también se dirige a la ju-
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\1\line_010.png,"ventud; pero a esta, como recuer-"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\1\line_011.png,"do de lo que aprendió, a los Ni-"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\1\line_012.png,"ños, como precisa explicacion de"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\1\line_013.png,lo que deben estudiar. Por este so-
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\1\line_014.png,lo titulo es muy vuestra; y por
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\1\line_015.png,"ser para Niños, que confiais a la"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\1\line_016.png,"educacion de vuestra Compañia,"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\1\line_017.png,"lo es mucho mas. En Vos, (Divi-"
C:\Users\nikk6\OneDrive\Desktop\OCR_2\data_generation_kraken\project\output3\1\line_018.png,no Exemplar de todas las virtu-
